,article_title,lastrevid
0,Shahjahan Noori,1099689043
1,Abdul Ghafar Lakanwal,943562276
2,Majah Ha Adrif,852404094
3,Haroon al-Afghani,1095102390
4,Tayyab Agha,1104998382
5,Ahmadullah Wasiq,1109361754
6,Aziza Ahmadyar,1087211008
7,Muqadasa Ahmadzai,1082489593
8,Mohammad Sarwar Ahmedzai,1038918070
9,Amir Muhammad Akhundzada,1069322182
10,Nasrullah Baryalai Arsalai,1095526840
11,Mohammad Asim Asim,1013838830
12,Atiqullah Atifmal,1112407669
13,Abdul Rahim Ayoubi,1108886061
14,Alhaj Mutalib Baig,1111494041
15,Ismael Balkhi,1112534409
16,Abdul Baqi Turkistani,889226470
17,Mohammad Ghous Bashiri,1102150221
18,Abas Basir,1098419766
19,Jan Baz,997027082
20,Ahmad Behzad,1103948295
21,Bashir Ahmad Bezan,1060707209
22,Rafiullah Bidar,977208323
23,Mohammad Siddiq Chakari,1105913099
24,Cheragh Ali Cheragh,1087211968
25,Nasir Ahmad Durrani,988838315
26,Elay Ershad,1102489654
27,Muhammad Hashim Esmatullahi,949986748
28,Ezatullah (Nangarhar),947885788
29,Aimal Faizi,1033383351
30,Mohammad Nasim Faqiri,1098051193
31,Mohammad Nazar Faqiri,1095525798
32,Sharif Ghalib,1041460606
33,Hashmat Ghani Ahmadzai,1112933356
34,Abdul Ghani Ghani,1072441893
35,Ashraf Ghani,1113195582
36,Abdul Samad Ghaus,1072271854
37,Ghulam Ghaus,1115758710
38,Ghulam Muhammad Ghobar,1108886395
39,Mohammad Gul (Helmand Council),1092523687
40,Ghulam Haider Hamidi,1095018556
41,Rangina Hamidi,1104280812
42,Abdul Malik Hamwar,1100874645
43,Sayed Zafar Hashemi,1112804808
44,Qutbuddin Hilal,1104423275
45,Shahnaz Himmeti,909966254
46,Anarkali Kaur Honaryar,1069574154
47,Mahboba Hoqomal,1092518990
48,Musa Hotak,1094201417
49,Mirza Muhammad Ismail,1073524466
50,Sayed Jalal,1078580238
51,Said Tayeb Jawad,1093621927
52,Faizullah Kakar,1108932917
53,Amin Karim,1106333491
54,Sayed Jalal Karim,1060701067
55,Ahmed Wali Karzai,1090245979
56,Khadija Zahra Ahmadi,1115331693
57,Hafizullah Shabaz Khail,1092416288
58,Rouh Gul Khairzad,925562571
59,Masoud Khalili,1103105365
60,Mohammad Khan (athlete),1070779097
61,Samoud Khan,1010948755
62,Farzana Kochai,1079430136
63,Farida Kuchi,1109436134
64,Baran Khan Kudezai,1106151353
65,Azizullah Lodin,1102817004
66,Razaq Mamoon,1100189662
67,Fazel Ahmed Manawi,1106464575
68,Moeen Marastial,1102907176
69,Ahmad Massoud,1112608262
70,Ahmad Wali Massoud,1108236868
71,Mohammad Daud Miraki,1112192884
72,Abdul Sattar Mirzakwal,1044450376
73,Abdul Karim Misaq,1052669338
74,Ali Mohammad (politician),1050463798
75,Nasruddin Mohseni,1095044526
